provider,region,instance_type,product_name,hourly_price_usd,gpu_type
Azure,northeurope,Standard_NC24rs_v3,Virtual Machines NCSv3 Series Windows,2.891196,Other
Azure,southcentralus,Standard_ND96isr_H100_v5,Virtual Machines NDsr H100 v5 Series Windows,48.954,H100
Azure,eastus,Standard_NC8lds_xl_RTXPRO6000BSE_v6,Virtual Machines NCldsxlRTX6kv6,0.11,RTX PRO 6000
Azure,westus2,Standard_NV32as_v4,Virtual Machines NVasv4 Series,1.864,Other
Azure,uaenorth,Standard_NC40ads_H100_v5,Virtual Machines NCadsH100v5 Series,1.844304,H100
Azure,japaneast,Standard_NC24rs_v3,Virtual Machines NCSv3 Series Windows,3.614318,Other
Azure,southcentralus,Standard_NV16as_v4,Virtual Machines NVasv4 Series Windows,0.342619,Other
Azure,eastus,Standard_NV6ads_A10_v5,Virtual Machines NVadsA10v5 Series,0.454,A10
Azure,westus3,Standard_NG16ads_V620_v1,Virtual Machines NGadsV620v1 Series,0.254,Other
Azure,australiaeast,Standard_NC8as_T4_v3,Virtual Machines NCasT4 v3 Series Windows,0.39034,Other
Azure,eastus2,Standard_NV12_Promo,Virtual Machines NV Promo Series,1.442,Other
Azure,centralus,Standard_NC4as_T4_v3,Virtual Machines NCasT4 v3 Series Windows,0.778,Other
Azure,francecentral,Standard_NV48s_v3,Virtual Machines NVSv3 Series,5.7,Other
Azure,southeastasia,Standard_NC40ads_H100_v5,Virtual Machines NCadsH100v5 Series Windows,4.366,H100
Azure,swedencentral,Standard_ND40s_v2,Virtual Machines NDSv2 Series,12.24,Other
Azure,switzerlandnorth,Standard_NV18ads_A10_v5,Virtual Machines NVadsA10v5 Series,0.458,A10
Azure,uksouth,Standard_NC64as_T4_v3,Virtual Machines NCasT4 v3 Series,2.917207,Other
Azure,japaneast,Standard_NC64as_T4_v3,Virtual Machines NCasT4 v3 Series,1.175,Other
Azure,westus,Standard_NV12s_v3,Virtual Machines NVSv3 Series Windows,0.312682,Other
Azure,swedencentral,Standard_ND40rs_v2,Virtual Machines NDrSv2 Series Windows,9.549,Other
Azure,italynorth,Standard_NV4as_v4,Virtual Machines NVasv4 Series,0.291,Other
Azure,germanywestcentral,Standard_NC48ads_A100_v4,NCads A100 v4 Series Linux,1.91,A100
Azure,japaneast,Standard_NV18ads_A10_v5,Virtual Machines NVadsA10v5 Series Windows,3.148,A10
Azure,attdallas1,Standard_NC4as_T4_v3,Virtual Machines NCasT4 v3 Series,0.0686,Other
Azure,eastus2,Standard_NG32adms_V620,Virtual Machines NGadsV620v1 Series Windows,0.882235,Other
Azure,eastus2,Standard_ND96ams_A100_v4,Virtual Machines NDamsr A100 v4 Series Linux,8.5202,A100
Azure,westus2,Standard_NV12s_v3,Virtual Machines NVSv3 Series Windows,0.677,Other
Azure,polandcentral,Standard_NV72ads_A10_v5,Virtual Machines NVadsA10v5 Series,1.566365,A10
Azure,westus2,Standard_NV24s_v3,Virtual Machines NVSv3 Series,2.28,Other
Azure,westus2,Standard_NV12ads_A10_v5,Virtual Machines NVadsA10v5 Series Windows,1.46,A10
Azure,italynorth,Standard_NC48ads_A100_v4,NCads A100 v4 Series Linux,9.55,A100
Azure,brazilsouth,Standard_NV72ads_A10_v5,Virtual Machines NVadsA10v5 Series,2.608,A10
Azure,indonesiacentral,Standard_NC40ads_H100_v5,Virtual Machines NCadsH100v5 Series Windows,2.209546,H100
Azure,westus,Standard_NC320lds_xl_RTXPRO6000BSE_v6,Virtual Machines NCldsxlRTX6kv6,3.718,RTX PRO 6000
Azure,westeurope,Standard_NV16as_v4,Virtual Machines NVasv4 Series Windows,0.351305,Other
Azure,uksouth,Standard_NV8as_v4,Virtual Machines NVasv4 Series Windows,0.17556,Other
Azure,eastus,Standard_ND96asr_v4,Virtual Machines NDasr A100 v4 Series Windows,12.645,Other
Azure,spaincentral,Standard_NV36ads_A10_v5,Virtual Machines NVadsA10v5 Series Windows,5.816,A10
Azure,southcentralus,Standard_NV12s_v3,Virtual Machines NVSv3 Series,1.368,Other
Azure,northcentralus,Standard_NC4as_T4_v3,Virtual Machines NCasT4 v3 Series Windows,0.2059,Other
Azure,japaneast,Standard_ND96ams_A100_v4,Virtual Machines NDamsr A100 v4 Series Linux,12.35442,A100
Azure,westus2,Standard_NV36adms_A10_v5,Virtual Machines NVadsA10v5 Series,4.52,A10
Azure,southeastasia,Standard_NV32as_v4,Virtual Machines NVasv4 Series,0.44777,Other
Azure,southcentralus,Standard_NV36ads_A10_v5,Virtual Machines NVadsA10v5 Series,0.768,A10
Azure,eastus2,Standard_NV24_Promo,Virtual Machines NV Promo Series Windows,3.988,Other
Azure,westeurope,Standard_ND96is_noIB_H100_v5,Virtual Machines NDsH100v5 Series,21.258283,H100
Azure,polandcentral,Standard_ND96isr_H200_v5,Virtual Machines NDsrH200v5 Series Windows,135.008,H200
Azure,switzerlandnorth,Standard_NV12ads_A10_v5,Virtual Machines NVadsA10v5 Series,1.298,A10
Azure,southeastus,Standard_ND96is_noIB_H100_v5,Virtual Machines NDsH100v5 Series Windows,22.07436,H100
Azure,southcentralus,Standard_NP10s,Virtual Machines NP Series Windows,0.976,Other
Azure,eastasia,Standard_ND40s_v2,Virtual Machines NDSv2 Series,5.841,Other
Azure,northeurope,Standard_NC48ads_A100_v4,NCads A100 v4 Series Windows,2.240976,A100
Azure,centralus,Standard_NV6ads_A10_v5,Virtual Machines NVadsA10v5 Series Windows,0.834,A10
Azure,westeurope,Standard_ND96asr_A100_v4,Virtual Machines NDasr A100 v4 Series,7.77854,A100
Azure,eastus2,Standard_NV32as_v4,Virtual Machines NVasv4 Series Windows,1.334,Other
Azure,germanywestcentral,Standard_NV36adms_A10_v5,Virtual Machines NVadsA10v5 Series,1.085885,A10
Azure,switzerlandnorth,Standard_ND96ams_A100_v4,Virtual Machines NDamsr A100 v4 Series Windows,13.33202,A100
Azure,southcentralus,Standard_NC12_Promo,Virtual Machines NC Promo Series,0.95,Other
Azure,westeurope,Standard_NC48ads_A100_v4,NCads A100 v4 Series Linux,1.91,A100
Azure,centralindia,Standard_NV12ads_A10_v5,Virtual Machines NVadsA10v5 Series Windows,0.729,A10
Azure,usgovarizona,Standard_NV8as_v4,Virtual Machines NVasv4 Series Windows,0.38,Other
Azure,eastus2,Standard_NC6s_v3,Virtual Machines NCSv3 Series,0.565488,Other
Azure,eastus,Standard_NC48ads_A100_v4,NCads A100 v4 Series Windows,3.822,A100
Azure,westus3,Standard_NG32ads_V620_v1,Virtual Machines NGadsV620v1 Series Windows,1.605,Other
Azure,qatarcentral,Standard_NV72ads_A10_v5,Virtual Machines NVadsA10v5 Series Windows,5.054,A10
Azure,northcentralus,Standard_ND96is_noIB_H100_v5,Virtual Machines NDsH100v5 Series,19.620401,H100
Azure,switzerlandnorth,Standard_NC96ads_A100_v4,NCads A100 v4 Series Windows,25.426,A100
Azure,northcentralus,Standard_NV32as_v4,Virtual Machines NVasv4 Series Windows,0.685423,Other
Azure,japaneast,Standard_NC96ads_A100_v4,NCads A100 v4 Series Windows,4.989486,A100
Azure,spaincentral,Standard_NC96ads_A100_v4,NCads A100 v4 Series Windows,23.516,A100
Azure,westus,Standard_NC48ads_A100_v4,NCads A100 v4 Series Linux,9.55,A100
Azure,canadacentral,Standard_NV18ads_A10_v5,Virtual Machines NVadsA10v5 Series Windows,0.50783,A10
Azure,switzerlandwest,Standard_ND96ams_A100_v4,Virtual Machines NDamsr A100 v4 Series Windows,16.9871,A100
Azure,jioindiawest,Standard_NV36adms_A10_v5,Virtual Machines NVadsA10v5 Series,6.328,A10
Azure,southeastus,Standard_ND96is_flex_H100_v5,Virtual Machines NDsfH100v5 Series,21.258283,H100
Azure,westus3,Standard_ND96asr_A100_v4,Virtual Machines NDasr A100 v4 Series Windows,12.645,A100
Azure,westeurope,Standard_NV4ads_V710_v5,Virtual Machines NVadsV710v5 Series Windows,0.247,Other
Azure,eastus,Standard_NV72ads_A10_v5,Virtual Machines NVadsA10v5 Series Windows,1.816954,A10
